Region,Data Provider,Model Type,Time Resolution,Location Resolution,Last Updated
Guatemala,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Guinea,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Guinea-Bissau,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Guyana,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Haiti,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Honduras,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Iceland,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Indonesia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
"Iran, Islamic Republic of",UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Iraq,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Isle of Man (U.K.),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Israel,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Jamaica,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Jordan,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Kazakhstan,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Kenya,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Kiribati,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
"Korea (North), Democratic People's Republic of",UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Kosovo,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Kuwait,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Kyrgyzstan,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Lao People's Democratic Republic,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Latvia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Lebanon,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Lesotho,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Liberia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Libya,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Liechtenstein,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Lithuania,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Luxembourg,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Madagascar,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Madeira (Portugal),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Malawi,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Maldives,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Mali,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Malta,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Marshall Islands,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Martinique (France),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Mauritania,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Mauritius,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Mayotte (France),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Micronesia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
"Moldova, Republic of ",UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Monaco,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Mongolia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Montenegro,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Montserrat,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Morocco,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Mozambique,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Myanmar,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Namibia,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Nauru,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Nepal,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
New Caledonia (France),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
New Zealand,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Niger,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Nigeria,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Niue,UNFCCC,Heat Rate,Annual,Country,31-Jul-24
"North Macedonia, Republic of",UNFCCC,Heat Rate,Annual,Country,31-Jul-24
Northern Mariana Islands (U.S.),UNFCCC,Heat Rate,Annual,Country,31-Jul-24
